id,address
1697536,2650 ONEIDA ST
1697542,2675 OLIVE ST
1697545,2650 OLIVE ST
1697556,1624 S BEACH CT
1697569,4780 FILLMORE ST
1697573,4770 FILLMORE ST
1697582,4243 ZUNI ST
1697586,4150 ALCOTT ST
1697597,4120 ZUNI ST
1697598,4147 ZUNI ST
1697616,2681 S KNOX CT
1697619,2645 S LINLEY CT
1697629,2537 S RACE ST
1697634,2435 S JOSEPHINE ST
1697637,2644 S GAYLORD ST
1697644,2620 S YORK ST
1697646,2637 S YORK ST
1697654,1064 S ELIOT ST
1697656,921 S QUITMAN ST
1697669,249 S PERRY ST
1697676,410 S LOWELL BLVD
1697697,5005 BROADWAY
1697698,5051 BROADWAY
1697711,133 HOLLY ST
1697724,220 JERSEY ST
1697740,3360 S DAHLIA ST
1697742,3361 S DAHLIA ST
1721414,4500 OSCEOLA ST
1721415,4506 OSCEOLA ST
1721417,145 OSCEOLA ST
1721420,260 QUITMAN ST
1721424,319 NEWTON ST
1721430,322 NEWTON ST
1721435,1603 S ALCOTT ST
1721437,4827 LISBON ST
1721439,20540 E 45TH AVE
1721444,4804 LISBON ST
1721456,20730 E SCOTT CIR
1721463,509 S LINCOLN ST
1721465,525 S LINCOLN ST
1721479,589 S LINCOLN ST
1721480,574 S LINCOLN ST
1721493,1350 ULSTER ST
1721494,1331 ULSTER ST
1738800,4081 ODESSA ST
1738809,3220 W GILL PL
1738815,3134 W ALASKA PL
1738817,3129 W ALASKA PL
1738820,3092 W ALASKA PL
1744081,5241 E THRILL PL
1744099,920 MEADE ST
1744107,725 KNOX CT
1744117,14354 E 47TH DR
1744142,1240 S KNOX CT
1744146,1245 S KNOX CT
1744166,4551 S LOWELL BLVD
1744167,4549 S LOWELL BLVD
1744171,4561 S LOWELL BLVD
1744175,14751 E ELK PL
1744194,4870 SHOSHONE ST
1744198,4880 SHOSHONE ST
1744202,4830 SHOSHONE ST
1744203,4890 SHOSHONE ST
1744210,1642 S ALCOTT ST
1744221,5264 FAIRPLAY ST
1744226,5341 GRANBY ST
1744230,15174 E 54TH AVE
1744250,3265 W GILL PL
1744251,3323 W GILL PL
1744254,3290 W CENTER AVE
1744255,3312 W GILL PL
1744266,146 S GRAPE ST
1744292,1785 S UMATILLA ST
1744295,1765 S VALLEJO ST
1744299,4840 CROWN BLVD
1744306,4854 CHANDLER CT
1744309,2865 S DEXTER WAY
1744312,2906 S CHERRY WAY
1744313,2920 S BIRCH ST
1744315,2850 S CHERRY WAY
1744332,2940 S CLERMONT DR
1744333,2970 S CLERMONT DR
1744357,2690 MAGNOLIA ST
1744362,2551 NEWPORT ST
1744364,2530 NEWPORT ST
1744390,2280 W CUSTER PL
1744394,2379 S CHEROKEE ST
1744396,2063 S GALAPAGO ST
1744398,2120 S GALAPAGO ST
